Bigram,Bigram_Frequency,Trigram,Trigram_Frequency
EL,2.03,QUE,1.75
DE,2.03,EST,1.59
LA,1.78,LOS,1.15
EN,1.75,POR,0.82
QU,1.57,PAR,0.65
UE,1.42,ENT,0.6
RE,1.38,CON,0.59
ER,1.34,COM,0.56
OS,1.29,ARA,0.56
AR,1.28,DEL,0.53
NT,1.27,LOS,0.51
RA,1.17,PAR,0.46
ES,1.15,EST,0.46
AN,1.13,ION,0.44
UN,1.11,ENC,0.43
RE,1.09,RES,0.43
AS,1.09,ADA,0.42
DO,1.05,QUE,0.4
ER,1.05,SUS,0.4
UE,1.03,ADO,0.38
