Bigram,Bigram_Frequency,Trigram,Trigram_Frequency
OS,2.03,QUE,1.75
DE,2.03,ENT,1.59
ES,1.78,COM,1.15
TE,1.75,ADO,0.82
EM,1.57,PAR,0.65
UE,1.42,DOS,0.6
NT,1.38,POR,0.59
RA,1.34,EST,0.56
AS,1.29,OJE,0.56
IS,1.28,QUE,0.53
ST,1.27,STA,0.51
AM,1.17,TAM,0.46
OR,1.15,ORA,0.46
AR,1.13,ADO,0.44
DO,1.11,MEN,0.43
TO,1.09,ARA,0.43
OU,1.09,ARA,0.42
DE,1.05,ESS,0.4
AD,1.05,DOS,0.4
ER,1.03,EST,0.38
