Bigram,Bigram_Frequency,Trigram,Trigram_Frequency
LE,2.03,LES,1.75
LA,2.03,QUE,1.59
DE,1.78,TIO,1.15
ET,1.75,PAR,0.82
EN,1.57,ION,0.65
QU,1.42,TRE,0.6
UE,1.38,RES,0.59
RE,1.34,ENT,0.56
IS,1.29,DES,0.56
ON,1.28,QUE,0.53
NT,1.27,DAN,0.51
NE,1.17,TRE,0.46
RA,1.15,TRE,0.46
SE,1.13,ONT,0.44
NT,1.11,ERS,0.43
RE,1.09,ANT,0.43
TI,1.09,ION,0.42
UE,1.05,QUE,0.4
UR,1.05,QUE,0.4
IT,1.03,EST,0.38
