Trigram,Frequency
QUE,1.75
EST,1.59
LOS,1.15
POR,0.82
PAR,0.65
ENT,0.6
CON,0.59
COM,0.56
ARA,0.56
DEL,0.53
LOS,0.51
PAR,0.46
EST,0.46
ION,0.44
ENC,0.43
RES,0.43
ADA,0.42
QUE,0.4
SUS,0.4
ADO,0.38
