Trigram,Frequency
CHE,1.75
CON,1.59
DEL,1.15
PER,0.82
DIN,0.65
DEL,0.6
LLE,0.59
TER,0.56
ELE,0.56
ION,0.53
ENT,0.51
EST,0.46
TTO,0.46
ESS,0.44
LLA,0.43
ION,0.43
CHE,0.42
ION,0.4
NDO,0.4
IRE,0.38
