Trigram,Frequency
LES,1.75
QUE,1.59
TIO,1.15
PAR,0.82
ION,0.65
TRE,0.6
RES,0.59
ENT,0.56
DES,0.56
QUE,0.53
DAN,0.51
TRE,0.46
TRE,0.46
ONT,0.44
ERS,0.43
ANT,0.43
ION,0.42
QUE,0.4
QUE,0.4
EST,0.38
