Trigram,Frequency
QUE,1.75
ENT,1.59
COM,1.15
ADO,0.82
PAR,0.65
DOS,0.6
POR,0.59
EST,0.56
OJE,0.56
QUE,0.53
STA,0.51
TAM,0.46
ORA,0.46
ADO,0.44
MEN,0.43
ARA,0.43
ARA,0.42
ESS,0.4
DOS,0.4
EST,0.38
