Bigram,Frequency
TH,3.88
HE,3.68
IN,2.28
ER,2.18
AN,2.14
EN,1.75
CH,1.57
DE,1.42
EI,1.38
TE,1.34
ST,1.29
IE,1.28
ND,1.27
ND,1.17
IE,1.15
CH,1.13
UN,1.11
NG,1.09
GE,1.09
BE,1.05
